family, friend, school, work, home, 
food, water, time, day, night, 
summer, winter, spring, fall, weather, 
clothes, shoes, hat, coat, shirt, 
pants, dress, car, bus, train, 
airplane, book, phone, computer, television, 
music, movie, game, sport, football, 
basketball, tennis, swimming, running, walking, 
eating, drinking, sleeping, talking, listening, 
reading, writing, cooking, cleaning, shopping, 
money, job, house, apartment, garden, 
tree, flower, grass, sky, sun, 
moon, star, rain, snow, wind, 
animal, dog, cat, bird, fish, 
breakfast, lunch, dinner, coffee, tea, 
fruit, vegetable, meat, bread, cheese, 
milk, juice, water, soda, pizza, 
hamburger, salad, soup, rice, pasta, 
kitchen, bathroom, bedroom, living room, office, 
chair, table, bed, sofa, desk, 
window, door, floor, wall, ceiling, 
picture, clock, lamp, mirror, curtain, 
camera, watch, key, wallet, bag, 
pencil, pen, paper, notebook, calendar
